block,plot,fire,exclosure,species,year_collected,total_phenolics
7,1,control,open,vr,2022,17.65329013
7,2,hot,closed,vr,2022,30.13459621
7,4,hot,open,vr,2022,50.53838485
8,6,cold,closed,vr,2022,61.97016754
8,3,cold,open,vr,2022,59.16417415
8,1,control,closed,vr,2022,44.91525424
8,4,control,open,vr,2022,42.87138584
8,2,hot,closed,vr,2022,51.49551346
8,5,hot,open,vr,2022,50.67257
8,2,prefire,preexclosure,vr,2021,63.47208375
9,2,cold,closed,vr,2022,32.58973081
9,1,cold,open,vr,2022,63.3163011
9,4,control,closed,vr,2022,63.66317714
9,6,hot,open,vr,2022,52.63210369
10,4,cold,closed,vr,2022,39.74327019
10,2,cold,open,vr,2022,58.78614158
10,3,control,closed,vr,2022,35.94217348
10,5,control,open,vr,2022,36.54037886
10,6,hot,closed,vr,2022,48.1768089
10,1,hot,open,vr,2022,43.35742772
