Year,LandslideID,Zone,TreeID,Species_Jp,DBH_cm,H_m,BA,BEF,R,D1,TimVol,AGBiomass_mg
1981,28,Transport,C789,Akashide,1.9,3.5,2.83528737,1.26,0.26,0.624,0.000810925,0.000637582
1981,28,Transport,C790,Akashide,2.4,4,4.523893421,1.26,0.26,0.624,0.001363207,0.001071808
1981,28,Transport,C791,Keyama hannoki,2.5,3.5,4.908738521,1.25,0.26,0.454,0.001507222,0.000855348
1981,28,Transport,C792,Keyama hannoki,10.1,8.1,80.11846665,1.25,0.26,0.454,0.044152263,0.025056409
1981,28,Transport,C793,Onoe willow,15.1,10.8,179.0786352,1.26,0.26,0.624,0.081383684,0.063987108
1981,28,Transport,C794,Onoe willow,17.4,14,237.787148,1.26,0.26,0.624,0.111541684,0.087698534
1981,28,Transport,C795,Onoe willow,17,13.3,226.9800692,1.26,0.26,0.624,0.105920527,0.083278955
1981,28,Transport,C796,Onoe willow,8.8,5.5,60.82123377,1.26,0.26,0.624,0.024499813,0.019262733
1981,28,Transport,C797,Noriutsugi,4.6,4.5,16.61902514,1.26,0.26,0.624,0.005791296,0.004553349
1981,28,Transport,C798,Keyama hannoki,11.4,12.1,102.0703453,1.25,0.26,0.454,0.05917621,0.033582499
1981,28,Transport,C799,Keyama hannoki,13.8,13.5,149.5712262,1.25,0.26,0.454,0.093940642,0.053311314
1981,28,Transport,C800,Keyama hannoki,7.5,8,44.17864669,1.25,0.26,0.454,0.021492438,0.012196959
1981,28,Transport,C801,Keyama hannoki,14,12.1,153.93804,1.25,0.26,0.454,0.097267803,0.055199478
1981,28,Transport,C802,Keyama hannoki,10.3,16,83.32289115,1.25,0.26,0.454,0.046296905,0.026273494
1981,28,Transport,C803,Keyama hannoki,16,12.4,201.0619298,1.25,0.26,0.454,0.134352523,0.076245057
1981,28,Transport,C804,Keyama hannoki,8.4,11.7,55.41769441,1.25,0.26,0.454,0.028270869,0.016043718
1981,28,Transport,C805,Onoe willow,9.6,10.2,72.38229474,1.26,0.26,0.624,0.029729107,0.023374213
1981,28,Deposition,C806,Keyama hannoki,23.5,15,433.7361357,1.25,0.26,0.454,0.340467806,0.19321548
1981,28,Deposition,C807,Aodamo,3.9,4,11.94590607,1.26,0.26,0.624,0.004012112,0.003154483
1981,28,Deposition,C808,Aodamo,2.1,2.5,3.463605901,1.26,0.26,0.624,0.00101303,0.000796485
1981,28,Deposition,C809,Aodamo,1.2,2,1.130973355,1.4,0.26,0.624,0.000291912,0.000255014
1981,28,Deposition,C810,Sawashiba,2.2,1.5,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
